government_donor,entity,rev_type,calendar_year,amount
United States of America,WFP,Voluntary non-core (earmarked) contributions,2024,4 417 458 884
United States of America,WFP,Voluntary core (un-earmarked) contributions,2024,15 000 000
United States of America,WFP,Revenue from other activities,2024,3 502 903
United States of America,UNHCR,Voluntary non-core (earmarked) contributions,2024,2 041 118 369
United States of America,UN-DPO,Assessed Contributions,2024,1 696 825 396
United States of America,UN-DPO,Revenue from other activities,2024,20 380
United States of America,IOM,Voluntary non-core (earmarked) contributions,2024,1 520 634 949
United States of America,IOM,Assessed Contributions,2024,21 192 563
United States of America,IOM,Voluntary core (un-earmarked) contributions,2024,3 630 428
United States of America,UNICEF,Voluntary non-core (earmarked) contributions,2024,1 010 362 232
United States of America,UNICEF,Voluntary core (un-earmarked) contributions,2024,137 000 000
United States of America,UN,Assessed Contributions,2024,762 434 310
United States of America,UN,Voluntary non-core (earmarked) contributions,2024,221 192 143
United States of America,UN,Voluntary core (un-earmarked) contributions,2024,23 602 979
United States of America,UN,Revenue from other activities,2024,116 917
United States of America,WHO,Voluntary non-core (earmarked) contributions,2024,453 439 981
United States of America,WHO,Assessed Contributions,2024,134 994 873
United States of America,FAO,Voluntary non-core (earmarked) contributions,2024,198 329 746
United States of America,FAO,Assessed Contributions,2024,114 894 169
United States of America,FAO,Revenue from other activities,2024,8 017
United States of America,IAEA,Assessed Contributions,2024,110 254 844.8
United States of America,IAEA,Voluntary non-core (earmarked) contributions,2024,90 299 310.41
United States of America,UNDP,Voluntary core (un-earmarked) contributions,2024,82 692 860
United States of America,UNDP,Voluntary non-core (earmarked) contributions,2024,78 280 681
United States of America,UNDP,Revenue from other activities,2024,10 682 680
United States of America,UNFPA,Voluntary non-core (earmarked) contributions,2024,118 347 077
United States of America,UNFPA,Voluntary core (un-earmarked) contributions,2024,30 520 964
United States of America,UNFPA,Revenue from other activities,2024,6 969 076
United States of America,ILO,Assessed Contributions,2024,105 470 635
United States of America,ILO,Voluntary non-core (earmarked) contributions,2024,47 304 876
United States of America,UNODC,Voluntary non-core (earmarked) contributions,2024,134 613 000
United States of America,UNODC,Voluntary core (un-earmarked) contributions,2024,453 000
United States of America,UNODC,Revenue from other activities,2024,-5 000
United States of America,UNAIDS,Voluntary non-core (earmarked) contributions,2024,63 325 513
United States of America,UNAIDS,Voluntary core (un-earmarked) contributions,2024,50 000 000
United States of America,UNESCO,Assessed Contributions,2024,75 870 911
United States of America,UNESCO,Voluntary non-core (earmarked) contributions,2024,3 829 291
United States of America,UNOPS,Revenue from other activities,2024,77 260 235
United States of America,UNEP,Assessed Contributions,2024,42 011 904
United States of America,UNEP,Voluntary non-core (earmarked) contributions,2024,25 568 604
United States of America,UNEP,Voluntary core (un-earmarked) contributions,2024,7 220 000
United States of America,UNRWA,Voluntary core (un-earmarked) contributions,2024,58 700 000
United States of America,UNRWA,Voluntary non-core (earmarked) contributions,2024,11 897 571
United States of America,IFAD,Voluntary core (un-earmarked) contributions,2024,43 000 000
United States of America,IFAD,Voluntary non-core (earmarked) contributions,2024,10 280 242
United States of America,CTBTO,Assessed Contributions,2024,30 063 959
United States of America,CTBTO,Voluntary non-core (earmarked) contributions,2024,3 008 118
United States of America,WTO,Assessed Contributions,2024,25 756 001.11
United States of America,WTO,Voluntary non-core (earmarked) contributions,2024,864 184.24
United States of America,OPCW,Assessed Contributions,2024,17 137 868.75
United States of America,OPCW,Voluntary non-core (earmarked) contributions,2024,4 710 663.54
United States of America,OPCW,Revenue from other activities,2024,128 017.71
United States of America,WMO,Assessed Contributions,2024,16 762 321.86
United States of America,WMO,Voluntary non-core (earmarked) contributions,2024,3 569 722.52
United States of America,ICAO,Assessed Contributions,2024,17 492 545.77
United States of America,ICAO,Voluntary non-core (earmarked) contributions,2024,1 766 755.89
United States of America,ICAO,Revenue from other activities,2024,78 984.74
United States of America,UNWOMEN,Voluntary core (un-earmarked) contributions,2024,12 000 000
United States of America,UNWOMEN,Voluntary non-core (earmarked) contributions,2024,3 356 884
United States of America,IRMCT,Assessed Contributions,2024,13 487 355
United States of America,ITU,Assessed Contributions,2024,12 352 941.18
United States of America,ITU,Voluntary non-core (earmarked) contributions,2024,64 571.59
United States of America,UNFCCC,Assessed Contributions,2024,8 050 368
United States of America,UNFCCC,Voluntary non-core (earmarked) contributions,2024,2 140 429
United States of America,ITC,Voluntary non-core (earmarked) contributions,2024,7 880 000
United States of America,IARC,Voluntary non-core (earmarked) contributions,2024,4 663 960.4
United States of America,IARC,Assessed Contributions,2024,1 723 681.25
United States of America,UNITAR,Voluntary non-core (earmarked) contributions,2024,4 211 197
United States of America,UNITAR,Revenue from other activities,2024,328 496
United States of America,UPU,Assessed Contributions,2024,2 948 057.71
United States of America,UNHABITAT,Voluntary core (un-earmarked) contributions,2024,1 500 000
United States of America,UNHABITAT,Voluntary non-core (earmarked) contributions,2024,1 006 230
United States of America,UNCCD,Assessed Contributions,2024,1 833 868
United States of America,IMO,Assessed Contributions,2024,1 127 834.17
United States of America,IMO,Voluntary non-core (earmarked) contributions,2024,312 752.51
United States of America,UNIDO,Voluntary non-core (earmarked) contributions,2024,1 334 085.42
United States of America,WIPO,Assessed Contributions,2024,1 264 678.14
