agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
CTBTO,CTBTO,2019,127055587.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2019,3913076.0,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2017,119158506.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2018,128036236.5,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2017,2113268.0,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2018,3065500.0,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2017,6742469.0,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
CTBTO,CTBTO,2018,1885080.0,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2018,1594987.0,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2019,5324221.0,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2019,1428532.0,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2020,131283366.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2020,2301052.0,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2020,1782323.0,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2020,2132984.0,Other revenue - specific to UN entity,Revenue from other activities,R04A
CTBTO,CTBTO,2021,135517220.0,Assessed Contributions,Assessed Contributions,R01
CTBTO,CTBTO,2021,3258064.0,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2021,2150237.0,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2021,1959007.0,Other revenue - specific to the UN entity,Revenue from other activities,R04A
CTBTO,CTBTO,2022,6630.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3866.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,20619.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,15792.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,17959.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,751682.0,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289.0,Assessed contributions,Assessed contributions,R01
