calendar_year,amount,currency,agency,sub_agency,transaction_type
2017,2046362,USD,UN,UN,Development Assistance
2011,702255180,USD,FAO,FAO,Development Assistance
2011,935562000,USD,IFAD,IFAD,Development Assistance
2011,647620147,USD,IOM,IOM,Development Assistance
2011,434364000,USD,UN,UN,Development Assistance
2011,59498991,USD,UNHABITAT,UNHABITAT,Development Assistance
2011,5516013890,USD,UNDP,UNDP,Development Assistance
2011,522276836,USD,UNEP,UNEP,Global Agenda and Specialised Assistance
2011,562705309,USD,UNESCO,UNESCO,Development Assistance
2011,824500000,USD,UNFPA,UNFPA,Development Assistance
2011,2794719000,USD,UNICEF,UNICEF,Development Assistance
2011,245597643,USD,UNIDO,UNIDO,Development Assistance
2011,76042471,USD,UNOPS,UNOPS,Development Assistance
2011,198315000,USD,UNWOMEN,UNWOMEN,Development Assistance
2011,382974416,USD,WFP,WFP,Development Assistance
2011,69677179,USD,WIPO,WIPO,Development Assistance
2011,457219568,USD,FAO,FAO,Humanitarian Assistance
2011,508944202,USD,IOM,IOM,Humanitarian Assistance
2011,301324201,USD,UN,UN,Humanitarian Assistance
2011,6493232,USD,UNHABITAT,UNHABITAT,Humanitarian Assistance
2011,2181099628,USD,UNHCR,UNHCR,Humanitarian Assistance
2011,999018000,USD,UNICEF,UNICEF,Humanitarian Assistance
2011,617275000,USD,UNRWA,UNRWA,Humanitarian Assistance
2011,3798048214,USD,WFP,WFP,Humanitarian Assistance
2011,7573730000,USD,UN-DPO,UN-DPO,Peace Operations
2011,0,USD,FAO,FAO,Peace Operations
2011,94771802,USD,UN,UN,Peace Operations
2011,340867598,USD,FAO,FAO,Global Agenda and Specialised Assistance
2011,74175730,USD,IAEA,IAEA,Global Agenda and Specialised Assistance
2011,96387781,USD,ICAO,ICAO,Global Agenda and Specialised Assistance
2011,249187824,USD,ILO,ILO,Global Agenda and Specialised Assistance
2011,15137137,USD,IMO,IMO,Global Agenda and Specialised Assistance
2011,153145540,USD,IOM,IOM,Global Agenda and Specialised Assistance
2011,86996000,USD,ITC,ITC,Development Assistance
2011,836321196,USD,PAHO,PAHO,Development Assistance
2011,199073000,USD,UN,UN,Other (combined Normative and Technical Cooperation)
2011,131712853,USD,UNHABITAT,UNHABITAT,Development Assistance
2011,320801000,USD,UNAIDS,UNAIDS,Development Assistance
2011,187568436,USD,UNESCO,UNESCO,Development Assistance
2011,239197187,USD,UNODC,UNODC,Development Assistance
2011,6494562,USD,UN Tourism,UN Tourism,Global Agenda and Specialised Assistance
2011,2514503652,USD,WHO,WHO,Development Assistance
2011,83419459,USD,WMO,WMO,Global Agenda and Specialised Assistance
2011,25263926,USD,WTO,WTO,Development Assistance
2011,448130608,USD,IAEA,IAEA,Global Agenda and Specialised Assistance
2011,116466372,USD,ICAO,ICAO,Global Agenda and Specialised Assistance
2011,385429207,USD,ILO,ILO,Development Assistance
2011,55839792,USD,IMO,IMO,Global Agenda and Specialised Assistance
2011,207808258,USD,ITU,ITU,Global Agenda and Specialised Assistance
2011,3327312997,USD,UN,UN,Other (combined Normative and Technical Cooperation)
2011,28635188,USD,UNHABITAT,UNHABITAT,Global Agenda and Specialised Assistance
2011,89096133,USD,UNEP,UNEP,Development Assistance
2011,187568436,USD,UNESCO,UNESCO,Global Agenda and Specialised Assistance
2011,22351310,USD,UNITAR,UNITAR,Global Agenda and Specialised Assistance
2011,55155000,USD,UNU,UNU,Global Agenda and Specialised Assistance
2011,16760249,USD,UN Tourism,UN Tourism,Global Agenda and Specialised Assistance
2011,56837037,USD,UPU,UPU,Global Agenda and Specialised Assistance
2011,271274861,USD,WIPO,WIPO,Global Agenda and Specialised Assistance
2011,205237443,USD,WTO,WTO,Global Agenda and Specialised Assistance
2012,565074494,USD,FAO,FAO,Development Assistance
2012,186158000,USD,IFAD,IFAD,Development Assistance
2012,569235940,USD,IOM,IOM,Development Assistance
2012,76227000,USD,ITC,ITC,Development Assistance
2012,450649163,USD,UN,UN,Development Assistance
2012,5244435060,USD,UNDP,UNDP,Development Assistance
2012,387264305,USD,UNEP,UNEP,Global Agenda and Specialised Assistance
2012,483699893,USD,UNESCO,UNESCO,Development Assistance
2012,810710695,USD,UNFPA,UNFPA,Development Assistance
2012,2790076616,USD,UNICEF,UNICEF,Development Assistance
2012,315344389,USD,UNIDO,UNIDO,Development Assistance
2012,235880070,USD,UNWOMEN,UNWOMEN,Development Assistance
2012,424628919,USD,WFP,WFP,Development Assistance
2012,70992003,USD,WIPO,WIPO,Development Assistance
2012,438677230,USD,FAO,FAO,Humanitarian Assistance
2012,500078610,USD,IOM,IOM,Humanitarian Assistance
2012,921913207,USD,UN,UN,Humanitarian Assistance
2012,2305929272,USD,UNHCR,UNHCR,Humanitarian Assistance
2012,823148884,USD,UNICEF,UNICEF,Humanitarian Assistance
2012,664041435,USD,UNRWA,UNRWA,Humanitarian Assistance
2012,4025383858,USD,WFP,WFP,Humanitarian Assistance
2012,7544235000,USD,UN-DPO,UN-DPO,Peace Operations
2012,83648164,USD,UN,UN,Peace Operations
2012,0,USD,FAO,FAO,Global Agenda and Specialised Assistance
2012,94525203,USD,IAEA,IAEA,Global Agenda and Specialised Assistance
2012,98157741,USD,ICAO,ICAO,Global Agenda and Specialised Assistance
2012,240277921,USD,ILO,ILO,Global Agenda and Specialised Assistance
2012,20795496,USD,IMO,IMO,Global Agenda and Specialised Assistance
2012,161329313,USD,IOM,IOM,Global Agenda and Specialised Assistance
2012,908104309,USD,PAHO,PAHO,Development Assistance
2012,193662666,USD,UN,UN,Other (combined Normative and Technical Cooperation)
2012,279913491,USD,UNAIDS,UNAIDS,Development Assistance
2012,161233298,USD,UNESCO,UNESCO,Development Assistance
2012,265618288,USD,UNODC,UNODC,Development Assistance
2012,5253072,USD,UN Tourism,UN Tourism,Global Agenda and Specialised Assistance
2012,45818280,USD,UPU,UPU,Global Agenda and Specialised Assistance
