amount,_currency,entity,calendar_year,rev_type,donor,contrib_type
1055993645,USD,WFP,2018,R03,European Union,C08A
851862507,USD,WFP,2016,R09,European Union,2
700842593.5,USD,UNHCR,2018,R03,European Union,C08A
567062473,USD,UNICEF,2017,R09,European Union,2
559423264,USD,UNICEF,2017,R11,World Bank Group,2
524126225,USD,UNDP,2012,R03,Global Fund to Fight,2
456700470,USD,UNDP,2015,R08B,Global Environment Facility (thru UNDP or UNEP),2
442796630,USD,WFP,2018,R03,UN OCHA,C04D
436833671,USD,UN,2014,R03,Multi Donor Trust Funds,2
431364860.6,USD,UNICEF,2013,R03,European Union,2
429617941,USD,UNDP,2018,R03,Global Environment Facility (thru UNDP or UNEP),C04B
423923142,USD,UNDP,2016,R08B,Global Environment Facility (thru UNDP or UNEP),2
405720311,USD,UNDP,2014,R03,Global Fund to Fight,2
390489244,USD,UNDP,2016,R08B,Global Fund to Fight,2
380654417.7,USD,IOM,2018,R03,European Union,C08A
379324813,USD,UNDP,2014,R03,European Union,2
371743092.1,USD,WFP,2014,R03,European Union,2
369949944,USD,UNDP,2017,R08B,Global Environment Facility (thru UNDP or UNEP),2
368476217,USD,UNDP,2015,R08B,Global Fund to Fight,2
368075241,USD,UNICEF,2018,R03,European Union,C08A
364941321,USD,UNDP,2018,R03,Multi Donor Trust Funds,C04D
362940946,USD,UNDP,2011,R03,Multi Donor Trust Funds,2
360812429,USD,UNDP,2017,R08B,Global Fund to Fight,2
358201909,USD,UNDP,2011,R03,European Union,2
355317734.8,USD,UNICEF,2014,R03,European Union,2
351308937,USD,UNDP,2011,R03,Global Fund to Fight,2
348783644,USD,UNDP,2012,R03,Global Environment Facility (thru UNDP or UNEP),2
343905848,USD,WFP,2017,R09,European Union,2
338560812,USD,WFP,2013,R03,European Union,2
329645541.2,USD,UNHCR,2017,R09,European Union,2
328810455,USD,UNDP,2016,R08,Multi Donor Trust Funds,2
327830044,USD,UNDP,2017,R08,Multi Donor Trust Funds,2
326852690.6,USD,WHO,2017,R12,Bill & Melinda Gates Foundation,2
324320832,USD,UNDP,2016,R09,European Union,2
321856098,USD,UNDP,2018,R03,Global Fund to Fight,C04B
315004013.1,USD,UNHCR,2013,R03,European Union,2
309415126.3,USD,UNICEF,2015,R12,Private Donors,2
309203378,USD,UNDP,2018,R03,European Union,C08A
308063600,USD,UNICEF,2017,R12,USA National Committee,2
291384457.4,USD,UNICEF,2016,R09,European Union,2
283375624,USD,UNICEF,2015,R09,European Union,2
283313659,USD,UNDP,2015,R08,Multi Donor Trust Funds,2
280034331,USD,WHO,2016,R12,Bill & Melinda Gates Foundation,2
279700439,USD,UNDP,2014,R03,Global Environment Facility (thru UNDP or UNEP),2
271186801,USD,WHO,2012,R03,Bill & Melinda Gates Foundation,2
263265317,USD,UNHCR,2016,R09,European Union,2
259157937,USD,IOM,2017,R09,European Union,2
256521237,USD,WHO,2014,R03,Bill & Melinda Gates Foundation,2
256503775.7,USD,UNFPA,2014,R03,Multi Donor Trust Funds,2
255110501,USD,UNDP,2017,R09,European Union,2
253959923.1,USD,UNICEF,2016,R12,USA National Committee,2
252667152,USD,UNDP,2012,R03,European Union,2
247449258.7,USD,FAO,2010,R03,European Union,2
240372568,USD,UNDP,2012,R03,Multi Donor Trust Funds,2
237845351.8,USD,WHO,2018,R03,Bill & Melinda Gates Foundation,C05
235155707,USD,UNICEF,2018,R03,USA National Committee,C06
226595905.8,USD,WFP,2015,R09,European Union,2
226374288,USD,WHO,2011,R03,Bill & Melinda Gates Foundation,2
221086561,USD,UNEP,2016,R08B,World Bank Group,2
219787513,USD,WHO,2010,R03,Bill & Melinda Gates Foundation,2
217257807,USD,UNDP,2015,R09,European Union,2
216114404.2,USD,UNICEF,2014,R03,UN OCHA,2
204121500.6,USD,FAO,2011,R03,European Union,2
193531409,USD,UNRWA,2013,R03,European Union,2
192740753,USD,IOM,2016,R09,European Union,2
188548127,USD,WHO,2015,R12,Bill & Melinda Gates Foundation,2
181847533,USD,UNRWA,2015,R09,European Union,2
181695878,USD,UNDP,2011,R03,Global Environment Facility (thru UNDP or UNEP),2
180360488,USD,FAO,2018,R03,European Union,C08A
176220430,USD,UNRWA,2014,R03,European Union,2
172436583.5,USD,UNHCR,2015,R09,European Union,2
167317469.1,USD,UNHCR,2014,R03,European Union,2
164593841,USD,UNEP,2017,R08B,World Bank Group,2
163687930,USD,UNICEF,2018,R03,UN OCHA,C04D
161519451.6,USD,UNEP,2018,R03,World Bank Group,C04A
159801000,USD,UNICEF,2010,R03,United Nations Development Programme,2
158545964.3,USD,WHO,2018,R03,Gavi Alliance,C04B
158539213.9,USD,UNEP,2014,R03,World Bank Group,2
158330248.5,USD,WFP,2015,R08,UN OCHA,2
154720187,USD,UNICEF,2017,R08B,Gavi Alliance,2
151478272,USD,UNICEF,2018,R03,UN OCHA,C04C
151128873,USD,UNDP,2018,R03,World Bank Group,C04A
148462051.8,USD,WHO,2017,R11,World Bank Group,2
146306200,USD,UNICEF,2018,R03,World Bank Group,C04A
143190918,USD,WFP,2017,R08,UN OCHA,2
142931496.3,USD,WFP,2013,R03,UN OCHA,2
140416694,USD,UNICEF,2017,R08,UN OCHA,2
138632047,USD,WFP,2018,R03,UN OCHA,C04D
136482126,USD,FAO,2014,R03,European Union,2
136246659.3,USD,WFP,2014,R03,UN OCHA,2
135922608.5,USD,WHO,2018,R03,UN OCHA,C04D
134922837.7,USD,FAO,2017,R09,European Union,2
134672236,USD,IOM,2014,R03,European Union,2
133815474.6,USD,UNRWA,2018,R02,European Union,C08A
133365050.6,USD,WHO,2017,R08B,Gavi Alliance,2
133191382.2,USD,UNHCR,2011,R03,European Union,2
130946690.6,USD,FAO,2016,R09,European Union,2
129615323,USD,IOM,2015,R09,European Union,2
127815265.5,USD,UNICEF,2016,R10,UN OCHA,2
127754706.7,USD,WHO,2014,R03,Gavi Alliance,2
126421673,USD,WHO,2015,R08B,Gavi Alliance,2
126182750.3,USD,UNEP,2015,R11,World Bank Group,2
125940996.3,USD,UNICEF,2015,R10,UN OCHA,2
125914242.6,USD,UNICEF,2013,R03,UN OCHA,2
125881856.5,USD,WFP,2011,R03,UN OCHA,2
124199812.1,USD,FAO,2015,R09,European Union,2
122801217,USD,WFP,2016,R08,UN OCHA,2
122515538,USD,UNRWA,2010,R02,European Union,2
121174111,USD,UNHCR,2016,R09,European Union,2
120177858.8,USD,WFP,2010,R03,UN OCHA,2
118215495.8,USD,UNHCR,2010,R03,European Union,2
117327780.6,USD,UNICEF,2014,R03,United Nations Development Programme,2
116764302,USD,UNRWA,2011,R02,European Union,2
116443280,USD,UNRWA,2012,R02,European Union,2
114958017.3,USD,FAO,2013,R03,European Union,2
114605000,USD,UNICEF,2011,R03,UN OCHA,2
113663539,USD,UNRWA,2016,R02,European Union,1
112754495,USD,UNRWA,2017,R09,European Union,2
112048971.1,USD,UNIDO,2017,R08B,Global Environment Facility (thru UNDP or UNEP),2
110559162,USD,UNDP,2017,R11,Global Environment Facility (thru UNDP or UNEP),2
108534231.1,USD,UNIDO,2015,R08B,Global Environment Facility (thru UNDP or UNEP),2
106333776.3,USD,UNICEF,2015,R10,United Nations Development Programme,2
101722000,USD,UNICEF,2010,R03,UN OCHA,2
96566523,USD,WHO,2011,R03,European Union,2
95695235.18,USD,UNICEF,2015,R12,Private Donors,2
95444513,USD,UNDP,2016,R10,United Nations Development Programme,2
94106268.66,USD,UN,2017,R08,Multi Donor Trust Funds,2
92582495,USD,WHO,2012,R03,Gavi Alliance,2
92368231.73,USD,FAO,2011,R03,Multi Donor Trust Funds,2
92069365,USD,UNICEF,2018,R03,Gavi Alliance,C04B
89411608.54,USD,FAO,2010,R03,Multi Donor Trust Funds,2
88315782.8,USD,UN,2011,R03,United Nations Development Programme,2
84171850.77,USD,WHO,2017,R09,European Union,2
83714004.34,USD,UNICEF,2013,R03,United Nations Development Programme,2
82170879.07,USD,FAO,2018,R03,Global Environment Facility (thru UNDP or UNEP),C04B
82140189.86,USD,WFP,2010,R03,United Nations,2
82032373.89,USD,UNHCR,2018,R02,Private Donors,C06
82029532,USD,UN,2012,R03,United Nations Development Programme,2
80359038.76,USD,WFP,2011,R03,United Nations,2
79623458.19,USD,UNFPA,2016,R07,Multi Donor Trust Funds,2
77860681,USD,UN,2012,R03,European Union,2
77011766.43,USD,UNFPA,2015,R07,Multi Donor Trust Funds,2
76480614,USD,UNRWA,2017,R09,European Union,2
74951357,USD,UNRWA,2012,R03,European Union,2
74696865,USD,UNEP,2013,R03,World Bank Group,2
73559693.1,USD,WHO,2018,R03,European Union,C08B
72988141.06,USD,FAO,2018,R03,Multi Donor Trust Funds,C04E
71998520.85,USD,IOM,2018,R03,UN OCHA,C04C
71933568,USD,WHO,2010,R03,Rotary International,2
70855195.65,USD,UNICEF,2015,R12,Private Donors,2
70436138,USD,UNHCR,2013,R03,UN OCHA,2
70131000,USD,UNICEF,2011,R03,Multi Donor Trust Funds,2
69409676,USD,UNHCR,2015,R08,UN OCHA,2
67427241.12,USD,UNIDO,2014,R03,Global Environment Facility (thru UNDP or UNEP),2
67224631.81,USD,FAO,2010,R03,UN OCHA,2
66320187,USD,UNHCR,2016,R12,Private Donors,2
66196652.7,USD,UNICEF,2016,R10,United Nations Development Programme,2
