agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
CTBTO,CTBTO,2019,127055587,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2019,3913076,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2017,119158506,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2018,128036236.5,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2017,2113268,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2018,3065500,Revenue from other activities,Revenue from other activities,R04
CTBTO,CTBTO,2017,6742469,Voluntary non-core (earmarked) contributions,Voluntary non-core (earmarked) contributions,R03
CTBTO,CTBTO,2018,1885080,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2018,1594987,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2019,5324221,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2019,1428532,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2020,131283366,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2020,2301052,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2020,1782323,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2020,2132984,Other revenue - specific to UN entity,Revenue from other activities,R04A
CTBTO,CTBTO,2021,135517220,Assessed Contributions,Assessed Contributions,R01
CTBTO,CTBTO,2021,3258064,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,CTBTO,2021,2150237,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,CTBTO,2021,1959007,Other revenue - specific to the UN entity,Revenue from other activities,R04A
CTBTO,CTBTO,2022,6630,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3866,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,20619,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,15792,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,17959,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,751682,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,69590,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,38554,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,711927,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2639,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,34530,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3003209,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,65242,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3882908,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1283,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,7732,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,49138,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,422762,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,243947,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,20619,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,170110,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1204952,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,23066,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1115401,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,62418,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,666051,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,26828,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,39950,Assessed contributions,Assessed contributions,R01
