"PRIORITY_AREA","PART_ID","PART_DESCRIPTION","SECTION_ID","SECTION_DESCRIPTION","ENTITY","YEAR","FINANCIAL_YEAR","AMOUNT","SOURCE_TYPE","REFERENCE","NOTE"
"Effective functioning of the organization","VIII","Common support services","29B","Department of Operational Support","DOS","2019","2019","507280","Voluntary","Financial Statement","Trust Fund in Support of the Department of Operational Support"
"Effective functioning of the organization","VIII","Common support services","29B","Department of Operational Support","DOS","2019","2019","1560240","Voluntary","Financial Statement","Trust Fund in Support of the Department of Operational Support"
"Effective functioning of the organization","I","Overall policymaking, direction and coordination","1","Overall policy-making, direction and coordination","ACABQ","2019","2018/19","377900","Other Assessed","A/74/743",""
"Effective functioning of the organization","I","Overall policymaking, direction and coordination","1","Overall policy-making, direction and coordination","AOJ","2019","2018/19","0","Other Assessed","A/74/743",""
"Effective functioning of the organization","VII","Public information","28","Global Communications","DGC","2019","2018/19","610300","Other Assessed","A/74/743",""
"Effective functioning of the organization","VIII","Common support services","29A","Department of Management Strategy, Policy and Compliance","DMSPC","2019","2018/19","16331300","Other Assessed","A/74/743",""
"Effective functioning of the organization","VIII","Common support services","29A","Department of Management Strategy, Policy and Compliance","DMSPC","2019","2018/19","40363500","Other Assessed","A/74/743","DM/DMSPC"
"Effective functioning of the organization","VIII","Common support services","29A","Department of Management Strategy, Policy and Compliance","DMSPC","2019","2018/19","28859100","Other Assessed","A/74/743","ERP"
"Effective functioning of the organization","VIII","Common support services","29A","Department of Management Strategy, Policy and Compliance","DMSPC","2019","2018/19","1302800","Other Assessed","A/74/743","GSDM"
"Effective functioning of the organization","VIII","Common support services","29A","Department of Management Strategy, Policy and Compliance","DMSPC","2019","2018/19","0","Other Assessed","A/74/743","Umoja"
"Effective functioning of the organization","VIII","Common support services","29B","Department of Operational Support","DOS","2019","2018/19","47129800","Other Assessed","A/74/743",""
"Effective functioning of the organization","VIII","Common support services","29B","Department of Operational Support","DOS","2019","2018/19","36486200","Other Assessed","A/74/743","DFS/DOS"
"Maintenance of international peace and security","II","Political affairs","5","Peacekeeping operations","DPO","2019","2018/19","90223700","Other Assessed","A/74/743",""
